id,text,label,language,has_slang,has_abbrev,source
1,"gue literally belum makan dr tadi, starving bgt dan nobody even noticed",0,mixed,0,0,generated
2,"they keep acting like they're superior, padahal orang macam itu sampah masyarakat",1,mixed,0,0,generated
3,"ngl gue lowkey baper pas dia tiba2 so sweet gitu, idk knp dia bgini skrg wkwk",0,mixed,0,0,generated
4,"semua perempuan tuh emang manipulative, gak ada yg bisa dipercaya no cap",1,mixed,0,0,generated
5,"deadline besok tp gue blm buka materi, i think i've officially given up at this point",0,mixed,0,0,generated
6,"org2 dr sana tuh fr gak tau diri, no class whatsoever smh ngeselin bgt",1,mixed,0,0,generated
7,"dia ghosting gue setelah date ketiga, literally makes no sense sama sekali",0,mixed,0,0,generated
8,"gue benci banget sama tipe orang kayak gitu, they deserve absolutely nothing fr",1,mixed,0,0,generated
9,"deadass gue udh overthinking soal ini berjam2, zero reason tp gabisa stop smh",0,mixed,0,0,generated
10,"cina tuh emang gak bisa dipercaya, no wonder semua org pada ilfeel sama mereka",1,mixed,0,0,generated
11,"antrian panjang bgt dan cuma satu kasir buka, honestly this place needs better management",0,mixed,0,0,generated
12,"perempuan mah fr gak bisa handle pressure, always emotional no cap ngl parah bgt",1,mixed,0,0,generated
13,"meeting tadi so boring, gue hampir ketiduran literally dua kali",0,mixed,0,0,generated
14,"from the start gue gak pernah percaya golongan itu, bener kan emang gitu mereka",1,mixed,0,0,generated
15,"lmao gue gabisa cope sm tugas ini bgt, literally dying inside fr fr smh",0,mixed,0,0,generated
16,"orang arab itu emang ngerasa paling benar, they look down on everyone else",1,mixed,0,0,generated
17,"gue udah minta maaf berkali-kali, they just don't wanna let it go sih",0,mixed,0,0,generated
18,"4nj1ng emang org2 kampung tuh, no class fr deadass bikin malu aja",1,mixed,0,0,generated
19,"nonton highlight esport tadi dan tim indo menang, so proud honestly",0,mixed,0,0,generated
20,"they keep demanding special treatment, padahal kontribusi mereka nol besar",1,mixed,0,0,generated
21,"omg gue ketemu mantan di mall tadi, langsung gue kabur literally mager bgt ngobrol",0,mixed,0,0,generated
22,"pendatang yg arogan itu merusak keharmonisan, no sense of respect whatsoever",1,mixed,0,0,generated
23,"koneksi internet gue putus pas meeting penting, i wanted to disappear right then and there",0,mixed,0,0,generated
24,"smh knp LGBT dikasih platform gitu, literally makes no sense bgt fr gak normal",1,mixed,0,0,generated
25,"gue coba approach dia baik-baik tapi dia terus shut me out, gak tau salah gue apa",0,mixed,0,0,generated
26,"bule dateng ke sini ngerasa paling tau segalanya, they have no respect for local culture",1,mixed,0,0,generated
27,"ngl gue fr lowkey jealous sm temen yg dapet job bagus, tp gue ikutan seneng bgt jg wkwk",0,mixed,0,0,generated
