id,text,label,language,has_slang,has_abbrev,source
1,yg benci muslim biasanya antek komunis. puluhan tahun mrk bantai muslim.,1,id,0,1,tonneau_indonesian
2,"aksi drummer cilik aisya soraya zahra di hadapan ketua umum dpp partai golkar airlangga hartarto menteri perindustrian dan ketua partai golkar prov. bengkulu rohidin mersyah plt. gubernur ,",0,id,0,0,tonneau_indonesian
3,"user lebih baik d jajah china dr pada di jajah arab... kebanyakn aturan... kl g jual aja negaranya sm as biar yg banyak bacot lansung di tebas... jangan sok suci, jangan munafik jd orang koar2 dank bisanya...",1,id,0,1,tonneau_indonesian
4,"user bacot, gaya sama otak timpang doi",1,id,1,0,tonneau_indonesian
5,"user mengadu ke allah agar para pemimpin yang bejat,bangsat,bajingan segera bertaubat kepada allah dan kembali ke jalan allah.",0,id,0,0,tonneau_indonesian
6,kenapa tgb membelot ke arah mendukung jokowi periode? bisa jadi sebagai jawaban atas tekanan asing bagaimana proyeksi presiden .,0,id,0,0,tonneau_indonesian
7,user tapi aku tetap berdiri kukuh dengan tweet pertama aku. menggunakan agama untuk mainan politik.,0,id,0,0,tonneau_indonesian
8,user tunjukkan di dunia ini ada pernah muslim membantai umat lain ? tunjukkan bung !,1,id,0,0,tonneau_indonesian
9,"user kenapaa tuyul kepalanya botak? karenaa ya suka suka dia la,pala pala nya dia tebakanrecehsegerr9trans7sahursegerr9",0,id,0,1,tonneau_indonesian
10,user sarap ni orang,1,id,0,0,tonneau_indonesian
11,"prediksi sydney, kamis maret angka ikut as kop kepala ekor shio kelinci, ayam, monyet unsur air, logam, tanah tutup result url",0,id,0,0,tonneau_indonesian
12,user tpi ingat ya. jangan sampe cina mengenalkan wisata haram jga ke indonesia hahaha,1,id,1,1,tonneau_indonesian
13,"user pendungaun islam ke dirimu sangat mendalam, tidak ada kitab dari tuhan, isi quran ocehan muhammad.",1,id,0,0,tonneau_indonesian
14,haruskah aku buat thread jadi tki dimalaysia dengan jam kerja 6jam? sebenernya ini kilang memang jahanam betol,1,id,0,1,tonneau_indonesian
